PMID	Abstract	ArticleTitle	PubDate	PubMonth	Author	KeyWords	MeSH	Journals	Affiliations	FundingSources	Location	Email
35913255	Current drug screening approaches are incapable of fully detecting and characterizing drug effectiveness and toxicity of human cardiomyocytes. The pharmaceutical industry uses mathematical models, cell lines, and in vivo models. Many promising drugs are abandoned early in development, and some cardiotoxic drugs reach humans leading to drug recalls. Therefore, there is an unmet need to have more reliable and predictive tools for drug discovery and screening applications. Biofabrication of functional cardiac tissues holds great promise for developing a faithful 3D in vitro disease model, optimizing drug screening efficiencies enabling precision medicine. Different fabrication techniques including molding, pull spinning and 3D bioprinting were used to develop tissue-engineered heart chambers. The big challenge is to effectively organize cells into tissue with structural and physiological features resembling native tissues. Some advancements have been made in engineering miniaturized heart chambers that resemble a living pump for drug screening and disease modeling applications. Here, we review the currently developed tissue-engineered heart chambers and discuss challenges and prospects.	Tissue-engineered heart chambers as a platform technology for drug discovery and disease modeling.	2022	Jul	Mousavi Ali;Stefanek Evan;Jafari Arman;Ajji Zineb;Naghieh Saman;Akbari Mohsen;Savoji Houman	3D bioprinting;Biofabrication;Cardiac tissue engineering;Disease modeling;Drug discovery;Heart chambers	Drug Discovery;Humans;Myocytes, Cardiac;Printing, Three-Dimensional;Technology;Tissue Engineering	Biomaterials advances	Institute of Biomedical Engineering, Department of Pharmacology and Physiology, Faculty of Medicine, University of Montreal, Montreal, QC H3T 1J4, Canada; Research Center, Centre Hospitalier Universitaire Sainte-Justine, Montreal, QC, H3T 1C5 Canada; Montreal TransMedTech Institute (iTMT), Montreal, QC H3T 1C5, Canada.;Laboratory for Innovation in Microengineering (LiME), Department of Mechanical Engineering, Center for Biomedical Research, University of Victoria, Victoria, BC V8P 2C5, Canada; Centre for Advanced Materials and Related Technologies (CAMTEC), University of Victoria, Victoria, BC V8P 5C2, Canada.;Institute of Biomedical Engineering, Department of Pharmacology and Physiology, Faculty of Medicine, University of Montreal, Montreal, QC H3T 1J4, Canada; Research Center, Centre Hospitalier Universitaire Sainte-Justine, Montreal, QC, H3T 1C5 Canada; Montreal TransMedTech Institute (iTMT), Montreal, QC H3T 1C5, Canada.;Institute of Biomedical Engineering, Department of Pharmacology and Physiology, Faculty of Medicine, University of Montreal, Montreal, QC H3T 1J4, Canada; Research Center, Centre Hospitalier Universitaire Sainte-Justine, Montreal, QC, H3T 1C5 Canada; Montreal TransMedTech Institute (iTMT), Montreal, QC H3T 1C5, Canada.;Division of Biomedical Engineering, College of Engineering, University of Saskatchewan, Saskatoon, SK S7N 5A9, Canada.;Laboratory for Innovation in Microengineering (LiME), Department of Mechanical Engineering, Center for Biomedical Research, University of Victoria, Victoria, BC V8P 2C5, Canada; Centre for Advanced Materials and Related Technologies (CAMTEC), University of Victoria, Victoria, BC V8P 5C2, Canada; Biotechnology Center, Silesian University of Technology, Akademicka 2A, 44-100 Gliwice, Poland.;Institute of Biomedical Engineering, Department of Pharmacology and Physiology, Faculty of Medicine, University of Montreal, Montreal, QC H3T 1J4, Canada; Research Center, Centre Hospitalier Universitaire Sainte-Justine, Montreal, QC, H3T 1C5 Canada; Montreal TransMedTech Institute (iTMT), Montreal, QC H3T 1C5, Canada. Electronic address: houman.savoji@umontreal.ca.		Gliwice, Poland, Canada;Department of Mechanical Engineering, Center for Biomedical Research, Canada;University of Saskatchewan, Saskatoon, Canada;Division of Biomedical Engineering, College of Engineering, Canada;Institute of Biomedical Engineering, Department of Pharmacology and Physiology, Canada;Faculty of Medicine, University of Montreal, Canada;Biotechnology Center, Silesian University of Technology, Canada;A, , Canada;Justine, Montreal, Canada;Research Center, Centre Hospitalier Universitaire Sainte, Canada;Montreal, QC H, Canada;QC, H, Canada;University of Victoria, Victoria, Canada	houman.savoji@umontreal.ca
35906208	Structural color is frequently exploited by living organisms for biological functions and has also been translated into synthetic materials as a more durable and less hazardous alternative to conventional pigments. Additive manufacturing approaches were recently exploited for the fabrication of exquisite photonic objects, but the angle-dependence observed limits a broader application of structural color in synthetic systems. Here, we propose a manufacturing platform for the 3D printing of complex-shaped objects that display isotropic structural color generated from photonic colloidal glasses. Structurally colored objects are printed from aqueous colloidal inks containing monodisperse silica particles, carbon black, and a gel-forming copolymer. Rheology and Small-Angle-X-Ray-Scattering measurements are performed to identify the processing conditions leading to printed objects with tunable structural colors. Multimaterial printing is eventually used to create complex-shaped objects with multiple structural colors using silica and carbon as abundant and sustainable building blocks.	Three-dimensional printing of photonic colloidal glasses into objects with isotropic structural color.	2022	Jul	Demirörs Ahmet F;Poloni Erik;Chiesa Maddalena;Bargardi Fabio L;Binelli Marco R;Woigk Wilhelm;De Castro Lucas D C;Kleger Nicole;Coulter Fergal B;Sicher Alba;Galinski Henning;Scheffold Frank;Studart André R			Nature communications	Complex Materials, Department of Materials, ETH Zurich, 8093, Zurich, Switzerland. ahmet.demiroers@mat.ethz.ch.;Complex Materials, Department of Materials, ETH Zurich, 8093, Zurich, Switzerland.;High Enthalpy Flow Diagnostics Group, Institute of Space Systems, University of Stuttgart, 70569, Stuttgart, Germany.;Complex Materials, Department of Materials, ETH Zurich, 8093, Zurich, Switzerland.;Complex Materials, Department of Materials, ETH Zurich, 8093, Zurich, Switzerland.;Complex Materials, Department of Materials, ETH Zurich, 8093, Zurich, Switzerland.;Complex Materials, Department of Materials, ETH Zurich, 8093, Zurich, Switzerland.;Complex Materials, Department of Materials, ETH Zurich, 8093, Zurich, Switzerland.;Federal University of São Carlos, Department of Materials Engineering, São Carlos, SP, Brazil.;São Carlos Institute of Physics, University of São Paulo, 13566-590, São Carlos, SP, Brazil.;Complex Materials, Department of Materials, ETH Zurich, 8093, Zurich, Switzerland.;Complex Materials, Department of Materials, ETH Zurich, 8093, Zurich, Switzerland.;Laboratory for Soft and Living Materials, Department of Materials, ETH Zurich, 8093, Zurich, Switzerland.;Laboratory for Nanometallurgy, Department of Materials, ETH Zurich, 8093, Zurich, Switzerland.;Soft Matter and Photonics, Department of Physics, University of Fribourg, 1700, Fribourg, Switzerland.;Complex Materials, Department of Materials, ETH Zurich, 8093, Zurich, Switzerland. andre.studart@mat.ethz.ch.		University of Stuttgart, , Brazil;Zurich, Switzerland, Brazil;o Carlos Institute of Physics, University of S, Brazil;o Paulo, , Brazil;Soft Matter and Photonics, Department of Physics, Brazil;Fribourg, Switzerland, Brazil;o Carlos, Department of Materials Engineering, Brazil;ETH Zurich, , Brazil;Stuttgart, Germany, Brazil;Laboratory for Nanometallurgy, Department of Materials, Brazil;University of Fribourg, , Brazil;o Carlos, SP, Brazil;High Enthalpy Flow Diagnostics Group, Institute of Space Systems, Brazil;Laboratory for Soft and Living Materials, Department of Materials, Brazil;Complex Materials, Department of Materials, Brazil	ahmet.demiroers@mat.ethz.ch;andre.studart@mat.ethz.ch
35888198	The high cost of biofabricated titanium mesh plates can make them out of reach for hospitals in low-income countries. To increase the availability of cranioplasty, the authors of this work investigated the production of polymer-based endoprostheses. Recently, cheap, popular desktop 3D printers have generated sufficient opportunities to provide patients with on-demand and on-site help. This study also examines the technologies of 3D printing, including SLM, SLS, FFF, DLP, and SLA. The authors focused their interest on the materials in fabrication, which include PLA, ABS, PET-G, PEEK, and PMMA. Three-dimensional printed prostheses are modeled using widely available CAD software with the help of patient-specific DICOM files. Even though the topic is insufficiently researched, it can be perceived as a relatively safe procedure with a minimal complication rate. There have also been some initial studies on the costs and legal regulations. Early case studies provide information on dozens of patients living with self-made prostheses and who are experiencing significant improvements in their quality of life. Budget 3D-printed endoprostheses are reliable and are reported to be significantly cheaper than the popular counterparts manufactured from polypropylene polyester.	Low-Cost Cranioplasty-A Systematic Review of 3D Printing in Medicine.	2022	Jul	Czyżewski Wojciech;Jachimczyk Jakub;Hoffman Zofia;Szymoniuk Michał;Litak Jakub;Maciejewski Marcin;Kura Krzysztof;Rola Radosław;Torres Kamil	3D cranioplasty;ABS;PEEK;PET-G;PLA;PMMA;additive manufacturing;cranioplasty		Materials (Basel, Switzerland)	Department of Didactics and Medical Simulation, Medical University of Lublin, 20-093 Lublin, Poland.;Department of Neurosurgery and Pediatric Neurosurgery in Lublin, 20-090 Lublin, Poland.;Student Scientific Society, Medical University of Lublin, 20-059 Lublin, Poland.;Student Scientific Society, Medical University of Lublin, 20-059 Lublin, Poland.;Student Scientific Association of Neurosurgery, Department of Neurosurgery and Pediatric Neurosurgery, Medical University of Lublin, 20-090 Lublin, Poland.;Department of Neurosurgery and Pediatric Neurosurgery in Lublin, 20-090 Lublin, Poland.;Department of Clinical Immunology, Medical University of Lublin, 20-093 Lublin, Poland.;Department of Electronics and Information Technology, Faculty of Electrical Engineering and Computer Science, Lublin University of Technology, 20-618 Lublin, Poland.;Department of Neurosurgery and Pediatric Neurosurgery in Lublin, 20-090 Lublin, Poland.;Department of Neurosurgery and Pediatric Neurosurgery in Lublin, 20-090 Lublin, Poland.;Department of Didactics and Medical Simulation, Medical University of Lublin, 20-093 Lublin, Poland.		Department of Clinical Immunology, Medical University of Lublin, Poland;Student Scientific Society, Medical University of Lublin, Poland;Department of Didactics and Medical Simulation, Medical University of Lublin, Poland;Department of Neurosurgery and Pediatric Neurosurgery in Lublin, , Poland;Department of Electronics and Information Technology, Faculty of Electrical Engineering and Computer Science, Poland;Lublin, Poland, Poland;Medical University of Lublin, , Poland;Lublin University of Technology, , Poland;Student Scientific Association of Neurosurgery, Department of Neurosurgery and Pediatric Neurosurgery, Poland	
35876134	Three-dimensional (3D) bioprinting technology has attracted a great deal of interest because it can be easily adapted to many industries and research sectors, such as biomedical, manufacturing, education, and engineering. Specifically, 3D bioprinting has provided significant advances in the medical industry, since such technology has led to significant breakthroughs in the synthesis of biomaterials, cells, and accompanying elements to produce composite living tissues. 3D bioprinting technology could lead to the immense capability of replacing damaged or injured tissues or organs with newly dispensed cell biomaterials and functional tissues. Several types of bioprinting technology and different bio-inks can be used to replicate cells and generate supporting units as complex 3D living tissues. Bioprinting techniques have undergone great advancements in the field of regenerative medicine to provide 3D printed models for numerous artificial organs and transplantable tissues. This review paper aims to provide an overview of 3D-bioprinting technologies by elucidating the current advancements, recent progress, opportunities, and applications in this field. It highlights the most recent advancements in 3D-bioprinting technology, particularly in the area of artificial organ development and cancer research. Additionally, the paper speculates on the future progress in 3D-bioprinting as a versatile foundation for several biomedical applications.	A focused review on three-dimensional bioprinting technology for artificial organ fabrication.	2022	Sep	Panda Swati;Hajra Sugato;Mistewicz Krystian;Nowacki Bartłomiej;In-Na Pichaya;Krushynska Anastasiia;Mishra Yogendra Kumar;Kim Hoe Joon		Artificial Organs;Biocompatible Materials;Bioprinting;Printing, Three-Dimensional;Technology;Tissue Engineering	Biomaterials science	Department of Robotics and Mechatronics Engineering, Daegu Gyeongbuk Institute of Science and Technology, Daegu-42988, South Korea. joonkim@dgist.ac.kr.;Department of Robotics and Mechatronics Engineering, Daegu Gyeongbuk Institute of Science and Technology, Daegu-42988, South Korea. joonkim@dgist.ac.kr.;Institute of Physics - Center for Science and Education, Silesian University of Technology, Krasińskiego 8, Katowice, Poland.;Faculty of Materials Engineering, Silesian University of Technology, Krasińskiego 8, Katowice, Poland.;Department of Chemical Technology, Faculty of Science, Chulalongkorn University, 254 Phyathai Road, Wangmai, Pathumwan, Bangkok-10330, Thailand.;Engineering and Technology Institute Groningen (ENTEG), Faculty of Science and Engineering, University of Groningen, Nijenborgh 4, Groningen, 9747 AG, Netherlands.;Mads Clausen Institute, NanoSYD, University of Southern Denmark, Alsion 2, 6400 Sønderborg, Denmark.;Department of Robotics and Mechatronics Engineering, Daegu Gyeongbuk Institute of Science and Technology, Daegu-42988, South Korea. joonkim@dgist.ac.kr.;Robotics and Mechatronics Research Center, Daegu Gyeongbuk Institute of Science and Technology, Daegu-42988, South Korea.		Pathumwan, Bangkok, Denmark;Department of Chemical Technology, Faculty of Science, Denmark;Groningen, , Denmark;Faculty of Science and Engineering, University of Groningen, Denmark;Phyathai Road, Wangmai, Denmark;Department of Robotics and Mechatronics Engineering, Daegu Gyeongbuk Institute of Science and Technology, Denmark;Chulalongkorn University, , Denmark;AG, Netherlands, Denmark;Robotics and Mechatronics Research Center, Daegu Gyeongbuk Institute of Science and Technology, Denmark;nderborg, Denmark, Denmark;University of Southern Denmark, Alsion, Denmark;Faculty of Materials Engineering, Silesian University of Technology, Denmark;Katowice, Poland, Denmark;Mads Clausen Institute, NanoSYD, Denmark;Center for Science and Education, Silesian University of Technology, Denmark	joonkim@dgist.ac.kr
35853599	Ubiquitous in embryonic development, tissue fusion is of interest to tissue engineers who use tissue spheroids or organoids as building blocks of three-dimensional (3D) multicellular constructs. This review presents mathematical models and computer simulations of the fusion of tissue spheroids. The motivation of this study stems from the need to predict the post-printing evolution of 3D bioprinted constructs. First, we provide a brief overview of differential adhesion, the main morphogenetic mechanism involved in post-printing structure formation. It will be shown that clusters of cohesive cells behave as an incompressible viscous fluid on the time scale of hours. The discussion turns then to mathematical models based on the continuum hydrodynamics of highly viscous liquids and on statistical mechanics. Next, we analyze the validity and practical use of computational models of multicellular self-assembly in live constructs created by tissue spheroid bioprinting. Finally, we discuss the perspectives of the field as machine learning starts to reshape experimental design, and modular robotic workstations tend to alleviate the burden of repetitive tasks in biofabrication. STATEMENT OF SIGNIFICANCE: Bioprinted constructs are living systems, which evolve via morphogenetic mechanisms known from developmental biology. This review presents mathematical and computational tools devised for modeling post-printing structure formation. They help achieving a desirable outcome without expensive optimization experiments. While previous reviews mainly focused on assumptions, technical details, strengths, and limitations of computational models of multicellular self-assembly, this article discusses their validity and practical use in biofabrication. It also presents an overview of mathematical models that proved to be useful in the evaluation of experimental data on tissue spheroid fusion, and in the calibration of computational models. Finally, the perspectives of the field are discussed in the advent of robotic biofabrication platforms and bioprinting process optimization by machine learning.	Mathematical and computational models in spheroid-based biofabrication.	2023	Jul	Arjoca Stelian;Robu Andreea;Neagu Monica;Neagu Adrian		Tissue Engineering;Models, Theoretical;Computer Simulation;Organoids;Bioprinting;Printing, Three-Dimensional;Tissue Scaffolds	Acta biomaterialia	Center for Modeling Biological Systems and Data Analysis, Department of Functional Sciences, Victor Babes University of Medicine and Pharmacy Timisoara, Piata Eftimie Murgu Nr. 2-4, Timisoara 300041, Romania.;Department of Automation and Applied Informatics, Politehnica University of Timisoara, Timisoara 300006, Romania.;Center for Modeling Biological Systems and Data Analysis, Department of Functional Sciences, Victor Babes University of Medicine and Pharmacy Timisoara, Piata Eftimie Murgu Nr. 2-4, Timisoara 300041, Romania.;Center for Modeling Biological Systems and Data Analysis, Department of Functional Sciences, Victor Babes University of Medicine and Pharmacy Timisoara, Piata Eftimie Murgu Nr. 2-4, Timisoara 300041, Romania; Department of Physics & Astronomy, University of Missouri-Columbia, Columbia, MO 65211, USA. Electronic address: neagu@umft.ro.		Columbia, Columbia, Oman;Astronomy, University of Missouri, Oman;Victor Babes University of Medicine and Pharmacy Timisoara, Piata Eftimie Murgu Nr, Oman;Department of Automation and Applied Informatics, Politehnica University of Timisoara, Oman;Center for Modeling Biological Systems and Data Analysis, Department of Functional Sciences, Oman	neagu@umft.ro
35851272	"Printing a structured network of functionalized droplets in a liquid medium enables engineering collectives of living cells for functional purposes and promises enormous applications in processes ranging from energy storage to tissue engineering. Current approaches are limited to drop-by-drop printing or face limitations in reproducing the sophisticated internal features of a structured material and its interactions with the surrounding media. Here, we report a simple approach for creating stable liquid filaments of silica nanoparticle dispersions and use them as inks to print all-in-liquid materials that consist of a network of droplets. Silica nanoparticles stabilize liquid filaments at Weber numbers two orders of magnitude smaller than previously reported in liquid-liquid systems by rapidly producing a concentrated emulsion zone at the oil-water interface. We experimentally demonstrate the printed aqueous phase is emulsified in-situ; consequently, a 3D structure is achieved with flexible walls consisting of layered emulsions. The tube-like printed features have a spongy texture resembling miniaturized versions of ""tube sponges"" found in the oceans. A scaling analysis based on the interplay between hydrodynamics and emulsification kinetics reveals that filaments are formed when emulsions are generated and remain at the interface during the printing period. Stabilized filaments are utilized for printing liquid-based fluidic channels."	Spongy all-in-liquid materials by in-situ formation of emulsions at oil-water interfaces.	2022	Jul	Bazazi Parisa;Stone Howard A;Hejazi S Hossein		Emulsions;Ink;Nanoparticles;Silicon Dioxide;Water	Nature communications	Department of Chemical and Petroleum Engineering, University of Calgary, Calgary, AB, T2N 1N, Canada. parisa.bazazi@ucalgary.ca.;Department of Mechanical and Aerospace Engineering Princeton University, Princeton, NJ, 08544, USA.;Department of Chemical and Petroleum Engineering, University of Calgary, Calgary, AB, T2N 1N, Canada. shhejazi@ucalgary.ca.		N, Canada, Canada;NJ, , Canada;Calgary, AB, Canada;Department of Mechanical and Aerospace Engineering Princeton University, Princeton, Canada;Department of Chemical and Petroleum Engineering, University of Calgary, Canada	parisa.bazazi@ucalgary.ca;shhejazi@ucalgary.ca
35836078	Adenosine-5'-triphosphate (ATP) is the primary energy carrier in all living organisms, and its detection in living cells represents a well-established approach. ATP-driven bioluminescence (BL) relying on the D-luciferin-luciferase reaction is a bioanalytical tool widely employed for monitoring hygiene and microbial contamination of foods.Here, we report a straightforward method for ATP BL detection using an ATP sensing paper fabricated with an alternative freeze-dry procedure. The assay can be easily implemented in laboratories equipped with (i) freeze-drying, wax printing, and 3D printing technologies and (ii) instrumentation for BL detection such as benchtop luminometers and portable light detectors including a smartphone camera without the need for additional equipment.	ATP Sensing Paper with Smartphone Bioluminescence-Based Detection.	2022		Calabretta Maria Maddalena;Alvarez-Diduk Ruslan;Michelini Elisa;Merkoçi Arben	ATP sensing paper;Adenosine-5′-triphosphate (ATP);Bioluminescence (BL);Freeze-dry technology;Luciferase;Paper sensing;Smartphone detection	Adenosine Triphosphate;Biological Assay;Luciferases;Luminescent Measurements;Smartphone	Methods in molecular biology (Clifton, N.J.)	"Department of Chemistry ""Giacomo Ciamician"", University of Bologna, Bologna, Italy.;Center for Applied Biomedical Research (CRBA), Azienda Ospedaliero-Universitaria Policlinico S. Orsola-Malpighi, Bologna, Italy.;Nanobioelectronics and Biosensors Group, Catalan Institute of Nanoscience and Nanotechnology (ICN2), CSIC, The Barcelona Institute of Science and Technology, Bellaterra, Barcelona, Spain.;Department of Chemistry ""Giacomo Ciamician"", University of Bologna, Bologna, Italy. elisa.michelini8@unibo.it.;Center for Applied Biomedical Research (CRBA), Azienda Ospedaliero-Universitaria Policlinico S. Orsola-Malpighi, Bologna, Italy. elisa.michelini8@unibo.it.;Nanobioelectronics and Biosensors Group, Catalan Institute of Nanoscience and Nanotechnology (ICN2), CSIC, The Barcelona Institute of Science and Technology, Bellaterra, Barcelona, Spain. arben.merkoci@icn2.cat.;Catalan Institution for Research and Advanced Studies (ICREA), Barcelona, Spain. arben.merkoci@icn2.cat."		Barcelona, Spain, Spain;Bellaterra, Barcelona, Spain;University of Bologna, Bologna, Spain;Nanobioelectronics and Biosensors Group, Catalan Institute of Nanoscience and Nanotechnology, Spain;Malpighi, Bologna, Spain;CSIC, The Barcelona Institute of Science and Technology, Spain	arben.merkoci@icn2.cat;elisa.michelini8@unibo.it
35819363	Engineered living materials (ELMs) that incorporate living organisms and synthetic materials enable advanced functional properties. Here, we seek to create plant cyborgs by combining plants or plant tissues with stimuli-responsive polymeric materials. Plant tissues with integrated shape control may find applications in regenerative medicine, and the shape control of living plants enables another dimension of adaptability and response to environmental threats, which can be applied to next-generation precision farming. In this work, we develop chemistry to integrate stimuli-responsive poly(N-isopropylacrylamide) (PNIPAM) hydrogels with decellularized plant tissues assisted by 3D printing. We demonstrate programmable shape morphing in response to thermal cues and ultraviolet (UV) light. Specifically, by taking advantage of the extrusion-based 3D printing method, we deposit nanocomposite PNIPAM precursors onto silane-treated decellularized leaf surface with prescribed shapes and spatial control. When subjected to external stimuli, the strain mismatch generated between the swellable nanocomposite PNIPAM and nonswellable decellularized leaf enables folding and bending to occur. This strategy to integrate the plant tissues with stimuli-responsive hydrogels allows the control of leaf morphology, opening avenues for plant-based biosensors and soft actuators to enhance food security; such materials also may find applications in biomedicine as tissue-engineering scaffolds.	Toward Plant Cyborgs: Hydrogels Incorporated onto Plant Tissues Enable Programmable Shape Control.	2022	Aug	Zhao Jiayu;Ma Yifeng;Steinmetz Nicole F;Bae Jinhye		Hydrogels;Nanocomposites;Printing, Three-Dimensional;Tissue Engineering;Tissue Scaffolds	ACS macro letters	Department of NanoEngineering, University of California San Diego, La Jolla, California 92093, United States.;Department of NanoEngineering, University of California San Diego, La Jolla, California 92093, United States.;Department of NanoEngineering, University of California San Diego, La Jolla, California 92093, United States.;Center for Nano-ImmunoEngineering, University of California San Diego, La Jolla, California 92093, United States.;Institute for Materials Discovery and Design, University of California San Diego, La Jolla, California 92093, United States.;Department of Bioengineering, University of California San Diego, La Jolla, California 92093, United States.;Department of Radiology, University of California San Diego, La Jolla, California 92093, United States.;Moores Cancer Center, University of California San Diego, La Jolla, California 92093, United States.;Department of NanoEngineering, University of California San Diego, La Jolla, California 92093, United States.;Chemical Engineering Program, University of California San Diego, La Jolla, California 92093, United States.;Material Science and Engineering Program, University of California San Diego, La Jolla, California 92093, United States.;Sustainable Power and Energy Center (SPEC), University of California San Diego, La Jolla, California 92093, United States.		Moores Cancer Center, University of California San Diego, United States;Department of Bioengineering, University of California San Diego, United States;Department of NanoEngineering, University of California San Diego, United States;Department of Radiology, University of California San Diego, United States;University of California San Diego, La Jolla, United States;ImmunoEngineering, University of California San Diego, United States;Material Science and Engineering Program, University of California San Diego, United States;Chemical Engineering Program, University of California San Diego, United States;Institute for Materials Discovery and Design, University of California San Diego, United States;La Jolla, California, United States	
35787568	3D printing changes the scope of how samples can be mounted for small-angle X-ray scattering (SAXS). In this paper a 3D-printed X-ray chamber, which allows for in situ exchange of buffer and in situ optical transmission spectroscopy, is presented. The chamber is made of cyclic olefin copolymers (COC), including COC X-ray windows providing ultra-low SAXS background. The design integrates a membrane insert for in situ dialysis of the 100 µl sample volume against a reservoir, which enables measurements of the same sample under multiple conditions using an in-house X-ray setup equipped with a 17.4 keV molybdenum source. The design's capabilities are demonstrated by measuring reversible structural changes in lipid and polymer systems as a function of salt concentration and pH. In the same chambers optical light transmission spectroscopy was carried out measuring the optical turbidity of the mesophases and local pH values using pH-responsive dyes. Microfluidic exchange and optical spectroscopy combined with in situ X-ray scattering enables vast applications for the study of responsive materials.	3D-printed SAXS chamber for controlled in situ dialysis and optical characterization.	2022	Jul	Ehm Tamara;Philipp Julian;Barkey Martin;Ober Martina;Brinkop Achim Theo;Simml David;Von Westphalen Miriam;Nickel Bert;Beck Roy;Rädler Joachim O	3D printing;cyclic olefin copolymer;in situ dialysis;in-house measurements;small-angle X-ray scattering	Printing, Three-Dimensional;Renal Dialysis;Scattering, Small Angle;X-Ray Diffraction;X-Rays	Journal of synchrotron radiation	School of Physics and Astronomy, Center for Physics and Chemistry of Living Systems, and Center for Nanoscience and Nanotechnology, Tel Aviv University, Ramat Aviv, Israel.;Faculty of Physics, Ludwig-Maximilians-Universität, Geschwister-Scholl-Platz 1, Munich, Germany.;Faculty of Physics, Ludwig-Maximilians-Universität, Geschwister-Scholl-Platz 1, Munich, Germany.;Faculty of Physics, Ludwig-Maximilians-Universität, Geschwister-Scholl-Platz 1, Munich, Germany.;Faculty of Physics, Ludwig-Maximilians-Universität, Geschwister-Scholl-Platz 1, Munich, Germany.;Faculty of Physics, Ludwig-Maximilians-Universität, Geschwister-Scholl-Platz 1, Munich, Germany.;Faculty of Physics, Ludwig-Maximilians-Universität, Geschwister-Scholl-Platz 1, Munich, Germany.;Faculty of Physics, Ludwig-Maximilians-Universität, Geschwister-Scholl-Platz 1, Munich, Germany.;School of Physics and Astronomy, Center for Physics and Chemistry of Living Systems, and Center for Nanoscience and Nanotechnology, Tel Aviv University, Ramat Aviv, Israel.;Faculty of Physics, Ludwig-Maximilians-Universität, Geschwister-Scholl-Platz 1, Munich, Germany.	Deutsche Forschungsgemeinschaft;Israel Science Foundation;Bundesministerium für Bildung und Forschung	Ramat Aviv, Israel, Germany;Faculty of Physics, Ludwig, Germany;School of Physics and Astronomy, Center for Physics and Chemistry of Living Systems, Germany;and Center for Nanoscience and Nanotechnology, Tel Aviv University, Germany;Munich, Germany, Germany;t, Geschwister, Germany	
35767151	Spinal cord injury (SCI) is a disabling and destructive central nervous system injury that has not yet been successfully treated at this stage. Three-dimensional (3D) bioprinting has become a promising method to produce more biologically complex microstructures, which fabricate living neural constructs with anatomically accurate complex geometries and spatial distributions of neural stem cells, and this is critical in the treatment of SCI. With the development of 3D printing technology and the deepening of research, neural tissue engineering research using different printing methods, bio-inks, and cells to repair SCI has achieved certain results. Although satisfactory results have not yet been achieved, they have provided novel ideas for the clinical treatment of SCI. Considering the potential impact of 3D bioprinting technology on neural studies, this review focuses on 3D bioprinting methods widely used in SCI neural tissue engineering, and the latest technological applications of bioprinting of nerve tissues for the repair of SCI are discussed. In addition to introducing the recent progress, this work also describes the existing limitations and highlights emerging possibilities and future prospects in this field.	Development and Application of Three-Dimensional Bioprinting Scaffold in the Repair of Spinal Cord Injury.	2022	Dec	Lu Dezhi;Yang Yang;Zhang Pingping;Ma Zhenjiang;Li Wentao;Song Yan;Feng Haiyang;Yu Wenqiang;Ren Fuchao;Li Tao;Zeng Hong;Wang Jinwu	3D bioprinting scaffold;Bioinks;Spinal cord injury	Humans;Bioprinting;Printing, Three-Dimensional;Tissue Engineering;Nerve Tissue;Spinal Cord Injuries	Tissue engineering and regenerative medicine	School of Medicine, Shanghai University, Shanghai, 200444, China.;Shanghai Key Laboratory of Orthopaedic Implants, Department of Orthopaedic Surgery, Shanghai Ninth People's Hospital, Shanghai Jiao Tong University School of Medicine, Shanghai, 200011, China.;Department of Rehabilitation Medicine, Shandong Provincial Third Hospital, Shandong, 250000, China.;School of Rehabilitation Medicine, Weifang Medical University, Weifang, 261053, China.;Shanghai Key Laboratory of Orthopaedic Implants, Department of Orthopaedic Surgery, Shanghai Ninth People's Hospital, Shanghai Jiao Tong University School of Medicine, Shanghai, 200011, China.;Shanghai Key Laboratory of Orthopaedic Implants, Department of Orthopaedic Surgery, Shanghai Ninth People's Hospital, Shanghai Jiao Tong University School of Medicine, Shanghai, 200011, China.;School of Rehabilitation Medicine, Weifang Medical University, Weifang, 261053, China.;School of Rehabilitation Medicine, Weifang Medical University, Weifang, 261053, China.;School of Rehabilitation Medicine, Weifang Medical University, Weifang, 261053, China.;School of Rehabilitation Medicine, Weifang Medical University, Weifang, 261053, China.;Department of Orthopaedics, Xinhua Hospital Affiliated to Shanghai Jiaotong University School of Medicine, Shanghai, 200092, China. litaoxyeyy@sina.com.;Shanghai Key Laboratory of Orthopaedic Implants, Department of Orthopaedic Surgery, Shanghai Ninth People's Hospital, Shanghai Jiao Tong University School of Medicine, Shanghai, 200011, China. zenghongxiezhen@163.com.;Shanghai Key Laboratory of Orthopaedic Implants, Department of Orthopaedic Surgery, Shanghai Ninth People's Hospital, Shanghai Jiao Tong University School of Medicine, Shanghai, 200011, China. wangjw-team@shsmu.edu.cn.		Shanghai Key Laboratory of Orthopaedic Implants, Department of Orthopaedic Surgery, China;Weifang, , China;Department of Orthopaedics, Xinhua Hospital Affiliated to Shanghai Jiaotong University School of Medicine, China;Shanghai, , China;School of Rehabilitation Medicine, Weifang Medical University, China;Department of Rehabilitation Medicine, Shandong Provincial Third Hospital, China;Shandong, , China;School of Medicine, Shanghai University, China;s Hospital, Shanghai Jiao Tong University School of Medicine, China	litaoxyeyy@sina.com;wangjw-team@shsmu.edu.cn;zenghongxiezhen@163.com
